'C-F','NYSE'    
'C-G','NYSE'    
'C-H','NYSE'    
'C-I','NYSE'    
'C-J','NYSE'    
'C-M','NYSE'    
'C-N','NYSE'    
'C-O','NYSE'    
'C-P','NYSE'    
'C-Q','NYSE'    
'C-R','NYSE'    
'C-S','NYSE'    
'C-U','NYSE'    
'C-V','NYSE'    
'C-W','NYSE'    
'C-Z','NYSE'    
'CTZ-A','NYSE'  
'CIA','NYSE'    
'CYN','NYSE'    
'CLC','NYSE'    
'CLH','NYSE'    
'CCO','NYSE'    
'CEM','NYSE'    
'EMO','NYSE'    
'CLW','NYSE'    
'CNL','NYSE'    
'CLF','NYSE'    
'CLX','NYSE'    
'CLD','NYSE'    
'CMS','NYSE'    
'CMS-A','NYSE'  
'CMS-B','NYSE'  
'CNA','NYSE'    
'CNW','NYSE'    
'CNH','NYSE'    
'CNO','NYSE'    
'CEO','NYSE'    
'COH','NYSE'    
'CIE','NYSE'    
'KOF','NYSE'    
'CCH','NYSE'    
'KO','NYSE'     
'CCE','NYSE'    
'CDE','NYSE'    
'CSA','NYSE'    
'CSA-A','NYSE'  
'FOF','NYSE'    
'DVM','NYSE'    
'INB','NYSE'    
'UTF','NYSE'    
'RQI','NYSE'    
'RNP','NYSE'    
'PSF','NYSE'    
'RFI','NYSE'    
'CNS','NYSE'    
'CFX','NYSE'    
'CL','NYSE'     
'PSS','NYSE'    
'CXE','NYSE'    
'CMK','NYSE'    
'CIF','NYSE'    
'CXH','NYSE'    
'CMU','NYSE'    
'CLP','NYSE'    
'CLNY','NYSE'   
'STK','NYSE'    
'CCS','NYSE'    
'CCW','NYSE'    
'CCZ','NYSE'    
'CMA','NYSE'    
'CMA-WS','NYSE' 
'FIX','NYSE'    
'CMC','NYSE'    
'CWH','NYSE'    
'CWH-C','NYSE'  
'CWH-D','NYSE'  
'CWH-E','NYSE'  
'CWHN','NYSE'   
'CBU','NYSE'    
'CYH','NYSE'    
'CIG','NYSE'    
'CIG-C','NYSE'  
'CGV','NYSE'    
'CBD','NYSE'    
'ABV','NYSE'    
'ABV-C','NYSE'  
'SBS','NYSE'    
'ELP','NYSE'    
'CCU','NYSE'    
'BVN','NYSE'    
'CODI','NYSE'   
'CMP','NYSE'    
'CPX','NYSE'    
'CSC','NYSE'    
'CRK','NYSE'    
'CAG','NYSE'    
'CXO','NYSE'    
'CCM','NYSE'    
'COP','NYSE'    
'CNX','NYSE'    
'ED','NYSE'     
'ED-A','NYSE'   
'ED-C','NYSE'   
'CGX','NYSE'    
'STZ','NYSE'    
'STZ-B','NYSE'  
'CEG','NYSE'    
'CEG-A','NYSE'  
'CLR','NYSE'    
'CVG','NYSE'    
'COO','NYSE'    
'CBE','NYSE'    
'CTB','NYSE'    
'CPA','NYSE'    
'BAK','NYSE'    
'CLB','NYSE'    
'CLGX','NYSE'   
'COR','NYSE'    
'CPO','NYSE'    
'GLW','NYSE'    
'BCA','NYSE'    
'GYA','NYSE'    
'GYC','NYSE'    
'OFC','NYSE'    
'OFC-G','NYSE'  
'OFC-H','NYSE'  
'OFC-J','NYSE'  
'CXW','NYSE'    
'CZZ','NYSE'    
'CMRE','NYSE'   
'COT','NYSE'    
'CCSC','NYSE'   
'CFC-A','NYSE'  
'CFC-B','NYSE'  
'CUZ','NYSE'    
'CUZ-A','NYSE'  
'CUZ-B','NYSE'  
'CVD','NYSE'    
'CVA','NYSE'    
'CVH','NYSE'    
'COV','NYSE'    
'CPF','NYSE'    
'CPL','NYSE'    
'CPY','NYSE'    
'ZY-A','NYSE'   
'CR','NYSE'     
'CRD-A','NYSE'  
'CRD-B','NYSE'  
'BAP','NYSE'    
'CS','NYSE'     
'CRP','NYSE'    
'CMLP','NYSE'   
'CXS','NYSE'    
'CRH','NYSE'    
'CRT','NYSE'    
'CCI','NYSE'    
'CCK','NYSE'    
'CRY','NYSE'    
'CSS','NYSE'    
'CSX','NYSE'    
'CTS','NYSE'    
'CUBE','NYSE'   
'CUBE-A','NYSE' 
'CUB','NYSE'    
'CFR','NYSE'    
'CFI','NYSE'    
'CMI','NYSE'    
'CW','NYSE'     
'CVI','NYSE'    
'UAN','NYSE'    
'CVS','NYSE'    
'CYS','NYSE'    
'CYT','NYSE'    
'DHI','NYSE'    
'DAN','NYSE'    
'DHR','NYSE'    
'DAC','NYSE'    
'DQ','NYSE'     
'DRI','NYSE'    
'DAR','NYSE'    
'DVA','NYSE'    
'DCA','NYSE'    
'DPM','NYSE'    
'DCT','NYSE'    
'DF','NYSE'     
'DE','NYSE'     
'DEX','NYSE'    
'DDF','NYSE'    
'DK','NYSE'     
'DLPH','NYSE'   
'DFG','NYSE'    
'DFP','NYSE'    
'DAL','NYSE'    
'DEL','NYSE'    
'DLX','NYSE'    
'DMD','NYSE'    
'DNR','NYSE'    
'HXM','NYSE'    
'DKT','NYSE'    
'DB','NYSE'     
'DTK','NYSE'    
'DTT','NYSE'    
'DUA','NYSE'    
'DXB','NYSE'    
'DCE','NYSE'    
'DDR','NYSE'    
'DDR-H','NYSE'  
'DDR-I','NYSE'  
'DVN','NYSE'    
'DV','NYSE'     
'DEXO','NYSE'   
'DHT','NYSE'    
'DEO','NYSE'    
'DO','NYSE'     
'DRH','NYSE'    
'DSX','NYSE'    
'DHX','NYSE'    
'DKS','NYSE'    
'DBD','NYSE'    
